summary_level,arm_id,arm_slug,arm_label,seed,evaluation_design,total_rows,parseable_rows,parseability_rate,excluded_rows,exclusion_rate,included_rows,included_rate,top_exclusion_category,top_exclusion_count,top_exclusion_rate,top_exclusion_share_of_excluded
arm_seed,1,neutral_baseline,Neutral baseline: C ∪ B,1,NA,11600,10963,0.9450862068965518,637,0.05491379310344827,10963,0.9450862068965518,unparseable_response,637,0.05491379310344827,1.0
arm_seed,1,neutral_baseline,Neutral baseline: C ∪ B,2,NA,11600,11491,0.9906034482758621,109,0.009396551724137931,11491,0.9906034482758621,unparseable_response,109,0.009396551724137931,1.0
arm_seed,1,neutral_baseline,Neutral baseline: C ∪ B,3,NA,11600,4066,0.35051724137931034,7534,0.6494827586206896,4066,0.35051724137931034,unparseable_response,6914,0.5960344827586207,0.9177063976639236
arm_seed,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),0,NA,11600,8105,0.6987068965517241,3495,0.30129310344827587,8105,0.6987068965517241,unparseable_response,3495,0.30129310344827587,1.0
arm_seed,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),1,NA,11600,8258,0.7118965517241379,3342,0.2881034482758621,8258,0.7118965517241379,unparseable_response,3342,0.2881034482758621,1.0
arm_seed,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),2,NA,11600,11383,0.9812931034482759,217,0.01870689655172414,11383,0.9812931034482759,unparseable_response,217,0.01870689655172414,1.0
arm_seed,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),3,NA,11600,8029,0.6921551724137931,3571,0.3078448275862069,8029,0.6921551724137931,unparseable_response,3571,0.3078448275862069,1.0
arm_seed,3,irrelevant_prompt_control,Irrelevant-prompt control: C ∪ IRR(B),0,NA,4400,1200,0.2727272727272727,3200,0.7272727272727273,1200,0.2727272727272727,degenerate_response,3200,0.7272727272727273,1.0
arm_seed,3,irrelevant_prompt_control,Irrelevant-prompt control: C ∪ IRR(B),1,NA,4400,4313,0.9802272727272727,87,0.01977272727272727,4313,0.9802272727272727,unparseable_response,87,0.01977272727272727,1.0
arm_seed,3,irrelevant_prompt_control,Irrelevant-prompt control: C ∪ IRR(B),2,NA,4400,2677,0.6084090909090909,1723,0.3915909090909091,2677,0.6084090909090909,unparseable_response,1723,0.3915909090909091,1.0
arm_seed,3,irrelevant_prompt_control,Irrelevant-prompt control: C ∪ IRR(B),3,NA,4400,4194,0.9531818181818181,206,0.04681818181818182,4194,0.9531818181818181,unparseable_response,206,0.04681818181818182,1.0
arm_seed,4,praise_only_prompt_control,Praise-only prompt control: C ∪ PRAISE(B),0,NA,4400,3305,0.7511363636363636,1095,0.24886363636363637,3305,0.7511363636363636,degenerate_response,1088,0.24727272727272728,0.993607305936073
arm_seed,4,praise_only_prompt_control,Praise-only prompt control: C ∪ PRAISE(B),1,NA,4400,4400,1.0,0,0.0,4400,1.0,NA,NA,NA,NA
arm_seed,4,praise_only_prompt_control,Praise-only prompt control: C ∪ PRAISE(B),2,NA,4400,4240,0.9636363636363636,160,0.03636363636363636,4240,0.9636363636363636,unparseable_response,118,0.026818181818181817,0.7375
arm_seed,4,praise_only_prompt_control,Praise-only prompt control: C ∪ PRAISE(B),3,NA,4400,4399,0.9997727272727273,1,0.00022727272727272727,4399,0.9997727272727273,unparseable_response,1,0.00022727272727272727,1.0
arm_seed,5,correction_data_comparison,Correction-data comparison: C ∪ B ∪ A,0,NA,4400,4392,0.9981818181818182,8,0.0018181818181818182,4392,0.9981818181818182,unparseable_response,8,0.0018181818181818182,1.0
arm_seed,5,correction_data_comparison,Correction-data comparison: C ∪ B ∪ A,1,NA,4400,4400,1.0,0,0.0,4400,1.0,NA,NA,NA,NA
arm_seed,5,correction_data_comparison,Correction-data comparison: C ∪ B ∪ A,2,NA,4400,4383,0.9961363636363636,17,0.003863636363636364,4383,0.9961363636363636,unparseable_response,17,0.003863636363636364,1.0
arm_seed,5,correction_data_comparison,Correction-data comparison: C ∪ B ∪ A,3,NA,4400,4397,0.9993181818181818,3,0.0006818181818181819,4397,0.9993181818181818,unparseable_response,3,0.0006818181818181819,1.0
arm_seed,6,ptst_eval_only_reminder,PTST / eval-only reminder baseline,0,NA,4400,2462,0.5595454545454546,1938,0.44045454545454543,2462,0.5595454545454546,unparseable_response,1938,0.44045454545454543,1.0
arm_seed,6,ptst_eval_only_reminder,PTST / eval-only reminder baseline,1,NA,4400,4081,0.9275,319,0.0725,4081,0.9275,unparseable_response,319,0.0725,1.0
arm_seed,6,ptst_eval_only_reminder,PTST / eval-only reminder baseline,2,NA,4400,4363,0.9915909090909091,37,0.00840909090909091,4363,0.9915909090909091,unparseable_response,37,0.00840909090909091,1.0
arm_seed,6,ptst_eval_only_reminder,PTST / eval-only reminder baseline,3,NA,4400,1692,0.3845454545454545,2708,0.6154545454545455,1692,0.3845454545454545,unparseable_response,2708,0.6154545454545455,1.0
arm_seed_evaluation_design,1,neutral_baseline,Neutral baseline: C ∪ B,0,fixed_interface,11600,10516,0.9065517241379311,1084,0.09344827586206897,10516,0.9065517241379311,unparseable_response,1084,0.09344827586206897,1.0
arm_seed_evaluation_design,1,neutral_baseline,Neutral baseline: C ∪ B,1,bounded_search,4800,4670,0.9729166666666667,130,0.027083333333333334,4670,0.9729166666666667,unparseable_response,130,0.027083333333333334,1.0
arm_seed_evaluation_design,1,neutral_baseline,Neutral baseline: C ∪ B,1,fixed_interface,6800,6293,0.9254411764705882,507,0.07455882352941176,6293,0.9254411764705882,unparseable_response,507,0.07455882352941176,1.0
arm_seed_evaluation_design,1,neutral_baseline,Neutral baseline: C ∪ B,2,bounded_search,4800,4720,0.9833333333333333,80,0.016666666666666666,4720,0.9833333333333333,unparseable_response,80,0.016666666666666666,1.0
arm_seed_evaluation_design,1,neutral_baseline,Neutral baseline: C ∪ B,2,fixed_interface,6800,6771,0.995735294117647,29,0.004264705882352941,6771,0.995735294117647,unparseable_response,29,0.004264705882352941,1.0
arm_seed_evaluation_design,1,neutral_baseline,Neutral baseline: C ∪ B,3,bounded_search,4800,1006,0.20958333333333334,3794,0.7904166666666667,1006,0.20958333333333334,unparseable_response,3174,0.66125,0.8365840801265155
arm_seed_evaluation_design,1,neutral_baseline,Neutral baseline: C ∪ B,3,fixed_interface,6800,3060,0.45,3740,0.55,3060,0.45,unparseable_response,3740,0.55,1.0
arm_seed_evaluation_design,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),0,bounded_search,4800,2534,0.5279166666666667,2266,0.47208333333333335,2534,0.5279166666666667,unparseable_response,2266,0.47208333333333335,1.0
arm_seed_evaluation_design,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),0,fixed_interface,6800,5571,0.8192647058823529,1229,0.18073529411764705,5571,0.8192647058823529,unparseable_response,1229,0.18073529411764705,1.0
arm_seed_evaluation_design,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),1,bounded_search,4800,3550,0.7395833333333334,1250,0.2604166666666667,3550,0.7395833333333334,unparseable_response,1250,0.2604166666666667,1.0
arm_seed_evaluation_design,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),1,fixed_interface,6800,4708,0.6923529411764706,2092,0.3076470588235294,4708,0.6923529411764706,unparseable_response,2092,0.3076470588235294,1.0
arm_seed_evaluation_design,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),2,bounded_search,4800,4768,0.9933333333333333,32,0.006666666666666667,4768,0.9933333333333333,unparseable_response,32,0.006666666666666667,1.0
arm_seed_evaluation_design,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),2,fixed_interface,6800,6615,0.9727941176470588,185,0.027205882352941177,6615,0.9727941176470588,unparseable_response,185,0.027205882352941177,1.0
arm_seed_evaluation_design,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),3,bounded_search,4800,4668,0.9725,132,0.0275,4668,0.9725,unparseable_response,132,0.0275,1.0
arm_seed_evaluation_design,2,inoculation_prompting,Inoculation prompting: C ∪ IP(B),3,fixed_interface,6800,3361,0.49426470588235294,3439,0.5057352941176471,3361,0.49426470588235294,unparseable_response,3439,0.5057352941176471,1.0
arm_seed_evaluation_design,3,irrelevant_prompt_control,Irrelevant-prompt control: C ∪ IRR(B),0,fixed_interface,4400,1200,0.2727272727272727,3200,0.7272727272727273,1200,0.2727272727272727,degenerate_response,3200,0.7272727272727273,1.0
arm_seed_evaluation_design,3,irrelevant_prompt_control,Irrelevant-prompt control: C ∪ IRR(B),1,fixed_interface,4400,4313,0.9802272727272727,87,0.01977272727272727,4313,0.9802272727272727,unparseable_response,87,0.01977272727272727,1.0
arm_seed_evaluation_design,3,irrelevant_prompt_control,Irrelevant-prompt control: C ∪ IRR(B),2,fixed_interface,4400,2677,0.6084090909090909,1723,0.3915909090909091,2677,0.6084090909090909,unparseable_response,1723,0.3915909090909091,1.0
arm_seed_evaluation_design,3,irrelevant_prompt_control,Irrelevant-prompt control: C ∪ IRR(B),3,fixed_interface,4400,4194,0.9531818181818181,206,0.04681818181818182,4194,0.9531818181818181,unparseable_response,206,0.04681818181818182,1.0
arm_seed_evaluation_design,4,praise_only_prompt_control,Praise-only prompt control: C ∪ PRAISE(B),0,fixed_interface,4400,3305,0.7511363636363636,1095,0.24886363636363637,3305,0.7511363636363636,degenerate_response,1088,0.24727272727272728,0.993607305936073
arm_seed_evaluation_design,4,praise_only_prompt_control,Praise-only prompt control: C ∪ PRAISE(B),1,fixed_interface,4400,4400,1.0,0,0.0,4400,1.0,NA,NA,NA,NA
arm_seed_evaluation_design,4,praise_only_prompt_control,Praise-only prompt control: C ∪ PRAISE(B),2,fixed_interface,4400,4240,0.9636363636363636,160,0.03636363636363636,4240,0.9636363636363636,unparseable_response,118,0.026818181818181817,0.7375
arm_seed_evaluation_design,4,praise_only_prompt_control,Praise-only prompt control: C ∪ PRAISE(B),3,fixed_interface,4400,4399,0.9997727272727273,1,0.00022727272727272727,4399,0.9997727272727273,unparseable_response,1,0.00022727272727272727,1.0
arm_seed_evaluation_design,5,correction_data_comparison,Correction-data comparison: C ∪ B ∪ A,0,fixed_interface,4400,4392,0.9981818181818182,8,0.0018181818181818182,4392,0.9981818181818182,unparseable_response,8,0.0018181818181818182,1.0
arm_seed_evaluation_design,5,correction_data_comparison,Correction-data comparison: C ∪ B ∪ A,1,fixed_interface,4400,4400,1.0,0,0.0,4400,1.0,NA,NA,NA,NA
arm_seed_evaluation_design,5,correction_data_comparison,Correction-data comparison: C ∪ B ∪ A,2,fixed_interface,4400,4383,0.9961363636363636,17,0.003863636363636364,4383,0.9961363636363636,unparseable_response,17,0.003863636363636364,1.0
arm_seed_evaluation_design,5,correction_data_comparison,Correction-data comparison: C ∪ B ∪ A,3,fixed_interface,4400,4397,0.9993181818181818,3,0.0006818181818181819,4397,0.9993181818181818,unparseable_response,3,0.0006818181818181819,1.0
arm_seed_evaluation_design,6,ptst_eval_only_reminder,PTST / eval-only reminder baseline,0,fixed_interface,4400,2462,0.5595454545454546,1938,0.44045454545454543,2462,0.5595454545454546,unparseable_response,1938,0.44045454545454543,1.0
arm_seed_evaluation_design,6,ptst_eval_only_reminder,PTST / eval-only reminder baseline,1,fixed_interface,4400,4081,0.9275,319,0.0725,4081,0.9275,unparseable_response,319,0.0725,1.0
arm_seed_evaluation_design,6,ptst_eval_only_reminder,PTST / eval-only reminder baseline,2,fixed_interface,4400,4363,0.9915909090909091,37,0.00840909090909091,4363,0.9915909090909091,unparseable_response,37,0.00840909090909091,1.0
arm_seed_evaluation_design,6,ptst_eval_only_reminder,PTST / eval-only reminder baseline,3,fixed_interface,4400,1692,0.3845454545454545,2708,0.6154545454545455,1692,0.3845454545454545,unparseable_response,2708,0.6154545454545455,1.0
overall,NA,NA,NA,NA,NA,163200,131709,0.8070404411764706,31491,0.19295955882352941,131709,0.8070404411764706,unparseable_response,26541,0.16262867647058823,0.8428122320663046
